Il sistema risolto:
R1089=+  0.48 * R622 + -0.01 * R842 
R892=+ -0.02 * R253 +  1.56 * R845 
R1171=+ -0.17 * R511 + -6.67 * R848 
R932=+ -60.00 * R404 + -5.00 * R851 
R972=+ -31.00 * R726 + 36.00 * R855 
R1065=+  0.02 * R40 + -0.01 * R856 
R882=+ -0.02 * R391 + -0.77 * R862 
R1087=+  0.01 * R657 +  0.15 * R872 
R1085=+ 79.00 * R672 + 86.00 * R873 
R988=+ -0.11 * R805 + -0.01 * R875 
R905=+  0.07 * R706 + -0.01 * R876 
R917=+ 84.00 * R467 + 86.00 * R877 
R1009=+ -100.00 * R405 +  9.00 * R880 
R1081=+ -13.00 * R123 + -65.00 * R881 
R1142=+ -32.00 * R428 + -50.00 * R885 
R923=+ -0.66 * R73 + -0.01 * R887 
R1117=+  0.04 * R535 + -2.43 * R889 
R976=+  2.67 * R807 +  0.04 * R890 
R1138=+ -0.91 * R11 +  0.04 * R891 
R1178=+  0.01 * R836 +  0.19 * R895 
R1174=+ -0.03 * R505 + -0.26 * R896 
R966=+ -0.62 * R472 +  0.02 * R901 
R953=+  0.03 * R772 + -0.48 * R906 
R918=+ -3.32 * R306 + -0.05 * R909 
R1184=+ 68.00 * R531 + -2.00 * R916 
R1159=+ -64.00 * R374 + 88.00 * R924 
R968=+ -0.02 * R586 +  1.77 * R936 
R1115=+ -1.25 * R492 + -0.01 * R939 
R1015=+  0.01 * R576 + -1.02 * R943 
R1194=+  0.03 * R846 +  0.87 * R947 
R985=+ 39.00 * R257 + -96.00 * R957 
R1185=+  0.02 * R823 +  2.07 * R977 
R1111=+ 76.00 * R515 + -85.00 * R978 
R1010=+  0.52 * R707 +  0.01 * R998 
R1172=+ -0.45 * R911 + -0.01 * R1001 
R1164=+  0.15 * R212 +  0.02 * R1025 
R1067=+  0.85 * R39 +  0.01 * R1031 
R1163=+ 100.00 * R458 + -72.00 * R1036 
R1122=+  0.44 * R523 +  0.02 * R1037 
R1055=+ 39.00 * R651 + 58.00 * R1045 
R1143=+ -0.93 * R453 + -0.02 * R1052 
R1105=+  2.03 * R1035 + -0.03 * R1056 
R1135=+ 87.00 * R1020 + 31.00 * R1092 
R1149=+ -10.00 * R378 + -27.00 * R1096 
R1197=+  0.01 * R816 +  0.59 * R1097 
R1151=+ -0.29 * R626 + -0.01 * R1118 
R1180=+  7.00 * R687 + -66.00 * R1130 
R1162=+ -1.77 * R1079 +  0.03 * R1140 
